+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                        ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                    ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; hw_support_inst|u_I2C_HDMI_Config|u0|wrd                                                                                                                                                                     ; 36    ; 8              ; 0            ; 8              ; 4      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|u_I2C_HDMI_Config|u0                                                                                                                                                                         ; 27    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|u_I2C_HDMI_Config                                                                                                                                                                            ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|rst_controller_002|alt_rst_req_sync_uq1                                                                                                                                      ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|rst_controller_002|alt_rst_sync_uq1                                                                                                                                          ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|rst_controller_002                                                                                                                                                           ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|rst_controller_001|alt_rst_req_sync_uq1                                                                                                                                      ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|rst_controller_001|alt_rst_sync_uq1                                                                                                                                          ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|rst_controller_001                                                                                                                                                           ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|rst_controller|alt_rst_req_sync_uq1                                                                                                                                          ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|rst_controller|alt_rst_sync_uq1                                                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|rst_controller                                                                                                                                                               ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|irq_mapper_002                                                                                                                                                               ; 0     ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|irq_mapper_001                                                                                                                                                               ; 2     ; 30             ; 0            ; 30             ; 32     ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|irq_mapper                                                                                                                                                                   ; 4     ; 1              ; 2            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_006|error_adapter_0                                                                                                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_006                                                                                                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_005|error_adapter_0                                                                                                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_005                                                                                                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_004|error_adapter_0                                                                                                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_004                                                                                                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_003|error_adapter_0                                                                                                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_003                                                                                                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_002|error_adapter_0                                                                                                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_002                                                                                                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_001|error_adapter_0                                                                                                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter_001                                                                                                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter|error_adapter_0                                                                                                                          ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|avalon_st_adapter                                                                                                                                          ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|crosser_001|clock_xer|out_to_in_synchronizer                                                                                                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|crosser_001|clock_xer|in_to_out_synchronizer                                                                                                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|crosser_001|clock_xer                                                                                                                                      ; 107   ; 0              ; 0            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|crosser_001                                                                                                                                                ; 109   ; 2              ; 0            ; 2              ; 103    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|crosser|clock_xer|out_to_in_synchronizer                                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|crosser|clock_xer|in_to_out_synchronizer                                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|crosser|clock_xer                                                                                                                                          ; 107   ; 0              ; 0            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|crosser                                                                                                                                                    ; 109   ; 2              ; 0            ; 2              ; 103    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_mux|arb|adder                                                                                                                                          ; 28    ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_mux|arb                                                                                                                                                ; 11    ; 0              ; 4            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_mux                                                                                                                                                    ; 717   ; 0              ; 0            ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_demux_006                                                                                                                                              ; 105   ; 1              ; 2            ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_demux_005                                                                                                                                              ; 105   ; 1              ; 2            ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_demux_004                                                                                                                                              ; 105   ; 1              ; 2            ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_demux_003                                                                                                                                              ; 105   ; 1              ; 2            ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_demux_002                                                                                                                                              ; 105   ; 1              ; 2            ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_demux_001                                                                                                                                              ; 105   ; 1              ; 2            ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|rsp_demux                                                                                                                                                  ; 105   ; 1              ; 2            ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|cmd_mux_006                                                                                                                                                ; 105   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|cmd_mux_005                                                                                                                                                ; 105   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|cmd_mux_004                                                                                                                                                ; 105   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|cmd_mux_003                                                                                                                                                ; 105   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|cmd_mux_002                                                                                                                                                ; 105   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|cmd_mux_001                                                                                                                                                ; 105   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|cmd_mux                                                                                                                                                    ; 105   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|cmd_demux                                                                                                                                                  ; 117   ; 49             ; 2            ; 49             ; 715    ; 49              ; 49            ; 49              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|mm_bridge_0_m0_limiter                                                                                                                                     ; 208   ; 0              ; 0            ; 0              ; 212    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_007|the_default_decode                                                                                                                              ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_007                                                                                                                                                 ; 98    ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_006|the_default_decode                                                                                                                              ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_006                                                                                                                                                 ; 98    ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_005|the_default_decode                                                                                                                              ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_005                                                                                                                                                 ; 98    ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_004|the_default_decode                                                                                                                              ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_004                                                                                                                                                 ; 98    ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_003|the_default_decode                                                                                                                              ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_003                                                                                                                                                 ; 98    ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_002|the_default_decode                                                                                                                              ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_002                                                                                                                                                 ; 98    ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_001|the_default_decode                                                                                                                              ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router_001                                                                                                                                                 ; 98    ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router|the_default_decode                                                                                                                                  ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|router                                                                                                                                                     ; 98    ; 0              ; 5            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|led_pio_s1_agent_rsp_fifo                                                                                                                                  ; 138   ; 39             ; 0            ; 39             ; 97     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|led_pio_s1_agent|uncompressor                                                                                                                              ; 32    ; 1              ; 0            ; 1              ; 30     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|led_pio_s1_agent                                                                                                                                           ; 276   ; 39             ; 44           ; 39             ; 290    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|dipsw_pio_s1_agent_rsp_fifo                                                                                                                                ; 138   ; 39             ; 0            ; 39             ; 97     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|dipsw_pio_s1_agent|uncompressor                                                                                                                            ; 32    ; 1              ; 0            ; 1              ; 30     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|dipsw_pio_s1_agent                                                                                                                                         ; 276   ; 39             ; 44           ; 39             ; 290    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|button_pio_s1_agent_rsp_fifo                                                                                                                               ; 138   ; 39             ; 0            ; 39             ; 97     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|button_pio_s1_agent|uncompressor                                                                                                                           ; 32    ; 1              ; 0            ; 1              ; 30     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|button_pio_s1_agent                                                                                                                                        ; 276   ; 39             ; 44           ; 39             ; 290    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|sysid_qsys_control_slave_agent_rsp_fifo                                                                                                                    ; 138   ; 39             ; 0            ; 39             ; 97     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|sysid_qsys_control_slave_agent|uncompressor                                                                                                                ; 32    ; 1              ; 0            ; 1              ; 30     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|sysid_qsys_control_slave_agent                                                                                                                             ; 276   ; 39             ; 44           ; 39             ; 290    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|custom_pio_0_avs_s0_agent_rsp_fifo                                                                                                                         ; 138   ; 39             ; 0            ; 39             ; 97     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|custom_pio_0_avs_s0_agent|uncompressor                                                                                                                     ; 32    ; 1              ; 0            ; 1              ; 30     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|custom_pio_0_avs_s0_agent                                                                                                                                  ; 276   ; 39             ; 44           ; 39             ; 290    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|alt_vip_vfr_hdmi_avalon_slave_agent_rdata_fifo                                                                                                             ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|alt_vip_vfr_hdmi_avalon_slave_agent_rsp_fifo                                                                                                               ; 138   ; 39             ; 0            ; 39             ; 97     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|alt_vip_vfr_hdmi_avalon_slave_agent|uncompressor                                                                                                           ; 32    ; 1              ; 0            ; 1              ; 30     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|alt_vip_vfr_hdmi_avalon_slave_agent                                                                                                                        ; 276   ; 39             ; 44           ; 39             ; 290    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|ilc_avalon_slave_agent_rsp_fifo                                                                                                                            ; 138   ; 39             ; 0            ; 39             ; 97     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|ilc_avalon_slave_agent|uncompressor                                                                                                                        ; 32    ; 1              ; 0            ; 1              ; 30     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|ilc_avalon_slave_agent                                                                                                                                     ; 276   ; 39             ; 44           ; 39             ; 290    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|mm_bridge_0_m0_agent                                                                                                                                       ; 166   ; 35             ; 71           ; 35             ; 130    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|led_pio_s1_translator                                                                                                                                      ; 101   ; 6              ; 19           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|dipsw_pio_s1_translator                                                                                                                                    ; 101   ; 6              ; 19           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|button_pio_s1_translator                                                                                                                                   ; 101   ; 6              ; 19           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|sysid_qsys_control_slave_translator                                                                                                                        ; 101   ; 6              ; 17           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|custom_pio_0_avs_s0_translator                                                                                                                             ; 101   ; 6              ; 17           ; 6              ; 69     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|alt_vip_vfr_hdmi_avalon_slave_translator                                                                                                                   ; 101   ; 6              ; 16           ; 6              ; 73     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|ilc_avalon_slave_translator                                                                                                                                ; 101   ; 6              ; 12           ; 6              ; 74     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2|mm_bridge_0_m0_translator                                                                                                                                  ; 102   ; 10             ; 2            ; 10             ; 95     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; hw_support_inst|soc_system_inst|mm_interconnect_2                                                                                                                                                            ; 286   ; 0              ; 0            ; 0              ; 257    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
